name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Dhaka,Bangladesh",2022-11-01,32.1,25.1,29,36.8,25.1,31.9,22.3,67.6,0,0,0,,0,0,18,12.9,351.9,1012.1,11.6,4,223.5,19.4,8,10,2022-11-01T06:04:00,2022-11-01T17:19:40,0.25,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
"Dhaka,Bangladesh",2022-11-02,32,25.1,28.8,35.4,25.1,31.1,21.6,66.1,0,0,0,,0,0,19.4,19.5,271.3,1010.8,10.7,4.2,219.5,19.1,8,10,2022-11-02T06:04:35,2022-11-02T17:19:03,0.28,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-03,29.5,24.7,27.3,32.7,24.7,28.6,21,69.1,0,0,0,,0,0,18,14,267.3,1011.1,40.4,4.1,175.6,15.1,7,10,2022-11-03T06:05:10,2022-11-03T17:18:27,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-04,30.4,21.7,26.4,31.6,21.7,27.1,19.3,65.7,0,0,0,,0,0,12.6,11,277.7,1012.6,22,4,227.7,19.5,8,10,2022-11-04T06:05:45,2022-11-04T17:17:53,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-05,31.1,22.5,26.9,33.4,22.5,27.9,19.9,66.6,0,0,0,,0,0,8.6,6.5,78.2,1014,18.1,4,225.6,19.5,8,10,2022-11-05T06:06:21,2022-11-05T17:17:19,0.39,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-06,31,24,27.5,35,24,28.7,20.5,66.8,0,0,0,,0,0,13,12,197.9,1014.2,8.2,3.9,221.2,19.1,8,10,2022-11-06T06:06:57,2022-11-06T17:16:47,0.42,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-07,31.4,21.5,27.4,32.5,21.5,28.3,19.5,63.1,0,0,0,,0,0,14.4,12.2,258.4,1013.9,19.8,4.1,221.2,19.2,8,10,2022-11-07T06:07:34,2022-11-07T17:16:16,0.46,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-08,30.2,22,27.1,32.3,22,28,19.8,65.1,0,0,0,,0,0,9.4,16.7,39.8,1013.9,36.6,4,219.8,19.1,8,10,2022-11-08T06:08:11,2022-11-08T17:15:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-09,31,23.5,27.2,33.7,23.5,28,19.6,63.9,0,0,0,,0,0,11.5,12,42.4,1013.8,21.3,4.1,217.7,18.7,8,10,2022-11-09T06:08:49,2022-11-09T17:15:18,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
"Dhaka,Bangladesh",2022-11-10,30.7,23.2,26.7,32.3,23.2,27.1,18.4,61.3,0,0,0,,0,0,11.2,12.9,45.4,1013.8,35.7,4.4,217.7,18.7,8,10,2022-11-10T06:09:27,2022-11-10T17:14:51,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
